Date,AMZN,BTC,NFLX
2013-11-01,359,213.429993,47.03857
2013-11-04,358.73999,238.160004,48.228573
2013-11-05,358.890015,251.300003,48.785713
2013-11-06,356.179993,264.100006,47.947144
2013-11-07,343.559998,309.649994,46.694286
2013-11-08,350.309998,355,47.842857
2013-11-11,354.380005,362.980011,48.272858
2013-11-12,349.529999,380.040009,47.675713
2013-11-13,356.220001,434.850006,47.897144
2013-11-14,367.399994,433.399994,48.938572
2013-11-15,369.170013,433.920013,49.965714
2013-11-18,366.179993,785.429993,48.824287
2013-11-19,364.940002,645.690002,48.184284
2013-11-20,362.570007,637.969971,48.502857
2013-11-21,368.920013,764.909973,49.785713
2013-11-22,372.309998,802,49.692856
2013-11-25,376.640015,829.98999,50.034286
2013-11-26,381.369995,969.960022,50.742859
2013-11-27,386.709991,1079.890015,51.784286
2013-11-29,393.619995,1206.930054,52.257141
2013-12-02,392.299988,1096.560059,51.988571
2013-12-03,384.660004,1154.859985,51.848572
2013-12-04,385.959991,1237.550049,50.895714
2013-12-05,384.48999,1106.349976,51.151428
2013-12-06,386.950012,845.02002,50.634285
2013-12-09,384.890015,918.950012,50.810001
2013-12-10,387.779999,1033.719971,51.871429
2013-12-11,382.190002,919.929993,51.997143
2013-12-12,381.25,899.97998,53.332859
2013-12-13,384.23999,936.77002,52.709999
2013-12-16,388.970001,759.919983,52.330002
2013-12-17,387.649994,714.969971,53.552856
2013-12-18,395.959991,540.97998,53.748573
2013-12-19,395.190002,731.950012,53.82
2013-12-20,402.200012,649.960022,53.667141
2013-12-23,402.920013,713.23999,54.368572
2013-12-24,399.200012,702.75,54.055714
2013-12-26,404.390015,801.97998,53.847141
2013-12-27,398.079987,803.049988,52.5
2013-12-30,393.369995,804.830017,52.427143
2013-12-31,398.790009,805.940002,52.595715
2014-01-02,397.970001,856.909973,51.831429
2014-01-03,396.440002,884.26001,51.871429
2014-01-06,393.630005,1012.650024,51.367142
2014-01-07,398.029999,879.900024,48.5
2014-01-08,401.920013,938.840027,48.712856
2014-01-09,401.01001,936.950012,48.150002
2014-01-10,397.660004,957.76001,47.44857
2014-01-13,390.980011,922.909973,48.115715
2014-01-14,397.540009,919.280029,48.279999
2014-01-15,395.869995,941.219971,47.197144
2014-01-16,395.799988,913.48999,47.382858
2014-01-17,399.609985,894.159973,47.148571
2014-01-21,407.049988,962.210022,46.958572
2014-01-22,404.540009,950.950012,47.675713
2014-01-23,399.869995,944.159973,55.531429
2014-01-24,387.600006,916.549988,55.154285
2014-01-27,386.279999,943.539978,54.46143
2014-01-28,394.429993,932.679993,58.110001
2014-01-29,384.200012,925.669983,57.202858
2014-01-30,403.01001,941.390015,57.810001
2014-01-31,358.690002,938.849976,58.475716
2014-02-03,346.149994,931.710022,57.76857
2014-02-04,347.950012,926.640015,57.987144
2014-02-05,346.450012,904.52002,57.774284
2014-02-06,354.589996,828.869995,58.272858
2014-02-07,361.079987,695.650024,61.425713
2014-02-10,360.869995,582.630005,61.491428
2014-02-11,361.790009,578.960022,61.998573
2014-02-12,349.25,531.130005,61.275715
2014-02-13,357.200012,451.440002,62.364285
2014-02-14,357.350006,427.679993,62.215714
2014-02-18,353.649994,293.950012,62.407143
2014-02-19,347.380005,261.529999,61.175713
2014-02-20,349.799988,111.919998,62.135715
2014-02-21,346.76001,111.559998,61.747143
2014-02-24,351.779999,174,63.857143
2014-02-25,358.320007,135.779999,64.718575
2014-02-26,359.799988,593.140015,64.112854
2014-02-27,360.130005,596.48999,64.604286
2014-02-28,362.100006,573.940002,63.66143
2014-03-03,359.779999,662.179993,63.655716
2014-03-04,363.899994,661.849976,64.997147
2014-03-05,372.369995,658.299988,64.785713
2014-03-06,372.160004,648.26001,64.358574
2014-03-07,372.059998,616.72998,64.052856
2014-03-10,370.529999,612.969971,62.849998
2014-03-11,368.820007,608.690002,62.497143
2014-03-12,370.640015,619.429993,62.368572
